"Date","Open","High","Low","Last","Change","Settle","Volume","Previous Day Open Interest"
1966-06-27,76,77.1,76,77,NA,77,587,4646
1966-06-24,76.6,76.6,75,76,NA,76,1129,4543
1966-06-23,74.7,77,74.7,76.6,NA,76.6,414,4518
1966-06-22,75,75.4,74.4,74.7,NA,74.7,1839,4566
1966-06-21,75.6,77.4,74.1,75,NA,75,1792,4109
1966-06-20,72.7,75.6,72.7,74.5,NA,74.5,395,3804
1966-06-17,71.6,72.1,71.3,72.1,NA,72.1,362,3824
1966-06-16,71.3,72,71.3,71.6,NA,71.6,300,3769
1966-06-15,70.7,71.2,70.6,71.2,NA,71.2,105,3839
1966-06-14,70.5,70.7,70.5,70.7,NA,70.7,80,3784
1966-06-13,71,71,70.4,70.5,NA,70.5,255,3774
1966-06-10,70.6,70.6,70.4,70.4,NA,70.4,90,3689
1966-06-09,70.6,70.7,70.3,70.5,NA,70.5,210,3629
1966-06-08,70.3,70.3,70,70.2,NA,70.2,290,3599
1966-06-07,71.1,71.1,70.4,70.4,NA,70.4,425,3514
1966-06-06,71.2,71.3,71,71.1,NA,71.1,195,3289
1966-06-03,71.1,71.3,70.5,71.3,NA,71.3,305,3204
1966-06-02,71.2,71.3,71.1,71.1,NA,71.1,559,3054
1966-06-01,71.1,71.2,71,71.1,NA,71.1,195,2809
1966-05-31,71.3,71.3,71,71.2,NA,71.2,155,2729
1966-05-27,70.7,71,70.7,71,NA,71,107,2664
1966-05-26,71.2,71.2,70.6,70.7,NA,70.7,795,2669
1966-05-25,71.1,71.2,71,71.2,NA,71.2,240,2054
1966-05-24,71.6,71.7,71.2,71.4,NA,71.4,289,1894
1966-05-23,70.3,71.7,70.3,71.7,NA,71.7,10,1779
1966-05-20,70,70.4,70,70.4,NA,70.4,72,1779
1966-05-19,68.5,68.6,68,68.1,NA,68.1,20,1939
1966-05-18,69,69,68.7,68.7,NA,68.7,115,1929
1966-05-17,69.2,69.2,69,69.1,NA,69.1,125,1914
1966-05-16,69.3,69.3,69.1,69.2,NA,69.2,237,1919
1966-05-13,69,69.3,69,69.2,NA,69.2,157,1856
1966-05-12,69.4,69.4,68.6,69,NA,69,310,1791
1966-05-11,68.3,69.4,68.3,69.3,NA,69.3,55,1861
1966-05-10,68.2,68.3,68.1,68.3,NA,68.3,145,1881
1966-05-09,68.2,68.7,68.2,68.5,NA,68.5,50,1866
1966-05-06,67.7,68.2,67.7,68.2,NA,68.2,70,1876
1966-05-05,67.5,67.7,67.5,67.6,NA,67.6,75,1876
1966-05-04,67.3,67.4,67.2,67.4,NA,67.4,157,1886
1966-05-03,67.2,67.4,67.2,67.4,NA,67.4,412,1906
1966-05-02,67.5,67.6,67.3,67.4,NA,67.4,820,1714
1966-04-29,67.6,67.6,67.5,67.6,NA,67.6,219,1296
1966-04-28,68.3,68.3,68,68,NA,68,240,1234
1966-04-27,68.5,68.5,68.3,68.4,NA,68.4,10,1129
1966-04-26,68.5,68.6,68.5,68.6,NA,68.6,130,1124
1966-04-25,68.5,68.7,68.4,68.6,NA,68.6,15,1099
1966-04-22,69,69,69,69,NA,69,95,1094
1966-04-21,69.1,69.1,68.6,69,NA,69,190,1079
1966-04-20,68.7,69.1,68.5,69,NA,69,120,969
1966-04-19,68.7,68.7,68.5,68.6,NA,68.6,400,954
1966-04-18,68.4,68.6,68.4,68.5,NA,68.5,53,864
1966-04-15,68.6,68.6,68.3,68.5,NA,68.5,35,844
1966-04-14,69.1,69.2,68.6,68.6,NA,68.6,15,844
1966-04-13,69,69.1,69,69,NA,69,30,829
1966-04-12,69.1,69.2,68.6,68.6,NA,68.6,52,814
1966-04-11,69.2,69.2,68.5,68.6,NA,68.6,20,804
1966-04-07,69.1,69.1,68.7,69,NA,69,32,809
1966-04-06,68.4,68.6,68.4,68.5,NA,68.5,55,809
1966-04-05,67.7,68.2,67.6,68.2,NA,68.2,10,814
1966-04-04,68,68,68,68,NA,68,32,819
1966-04-01,67.6,68,67.5,68,NA,68,0,804
1966-03-31,67.7,67.7,67.7,67.7,NA,67.7,45,804
1966-03-30,68.4,68.4,68.2,68.3,NA,68.3,30,764
1966-03-29,68.4,68.4,68.3,68.3,NA,68.3,40,739
1966-03-28,68.5,68.7,68.5,68.7,NA,68.7,5,704
1966-03-25,69,69,69,69,NA,69,10,699
1966-03-24,68.7,69,68.7,68.7,NA,68.7,100,699
1966-03-23,68.6,69,68.6,69,NA,69,0,639
1966-03-22,68.3,68.4,68.1,68.2,NA,68.2,335,2939
1966-03-21,68.5,68.6,68.2,68.3,NA,68.3,344,2959
1966-03-18,68.3,68.7,68.2,68.5,NA,68.5,362,2860
1966-03-17,68.5,68.5,68.1,68.3,NA,68.3,173,2767
1966-03-16,68.3,68.4,68.2,68.4,NA,68.4,80,2717
1966-03-15,67.7,68.1,67.7,68,NA,68,30,2707
1966-03-14,68.1,68.1,67.7,67.7,NA,67.7,180,2712
1966-03-11,68,68.3,68,68.1,NA,68.1,192,2757
1966-03-10,68.2,68.2,67.7,68,NA,68,215,2755
1966-03-09,68.1,68.1,67.3,68.1,NA,68.1,185,2785
1966-03-08,68.4,68.5,68.1,68.1,NA,68.1,139,2815
